#{"t_start": 1771863127.210567, "env_id": "None"}
r,l,t
-78.19,360,0.949123
6.27,360,1.220769
-67.7,360,1.49831
-0.47,360,1.769846
45.7,360,2.040016
-134.29,360,4.169148
-32.335,360,4.439452
-40.93,360,4.710735
10.405,360,4.981901
-56.85,360,5.252443
0.085,360,5.523884
14.1,360,7.677046
-68.335,360,7.94845
-21.99,360,8.21894
-57.66,360,8.496071
-74.805,360,8.774047
15.485,360,9.047071
-1.95,360,11.164793
45.715,360,11.439416
-9.925,360,11.72467
9.66,360,12.002766
7.71,360,12.292208
39.515,360,14.497385
12.34,360,14.786666
13.85,360,15.078901
6.575,360,15.370004
-34.815,360,15.658852
51.65,360,15.944625
9.925,360,18.14884
-24.06,360,18.435424
68.025,360,18.717481
2.38,360,18.994924
77.55,360,19.272279
17.65,360,19.55612
25.175,360,21.693069
-9.505,360,21.974216
72.26,360,22.263682
-9.17,360,22.54735
12.195,360,22.830882
35.51,360,24.982005
53.1,360,25.281936
45.74,360,25.590646
90.95,360,25.886413
77.105,360,26.159703
47.235,360,26.462689
26.55,360,28.665834
30.04,360,28.9361
41.145,360,29.210133
-6.62,360,29.48181
55.025,360,29.774958
33.34,360,30.06702
90.08,360,32.333543
44.01,360,32.61116
56.375,360,32.887081
51.37,360,33.170187
76.045,360,33.444589
17.67,360,35.684099
56.27,360,35.968966
62.475,360,36.248034
11.935,360,36.522673
52.495,360,36.792422
58.8,360,37.076261
-13.21,360,39.417424
64.21,360,39.793156
63.79,360,40.269419
79.12,360,40.609477
52.485,360,40.888036
71.665,360,41.171202
57.21,360,43.601338
-3.76,360,43.949643
74.125,360,44.247669
38.205,360,44.522669
101.76,360,44.807907
76.405,360,47.081943
70.07,360,47.373549
34.425,360,47.664331
47.49,360,48.13947
91.22,360,48.459674
95.925,360,48.764583
66.235,360,51.375755
17.64,360,51.676156
58.91,360,51.97086
110.365,360,52.294206
157.615,360,52.579985
21.535,360,52.864156
33.55,360,55.257942
43.29,360,55.560336
57.055,360,55.860602
73.405,360,56.171218
53.765,360,56.471987
78.51,360,56.76657
50.545,360,59.217947
73.095,360,59.53444
97.575,360,59.901087
68.63,360,60.235169
68.95,360,60.560306
107.965,360,62.966103
77.115,360,63.278297
69.08,360,63.597829
8.665,360,64.015875
57.035,360,64.340359
94.525,360,64.662304
76.645,360,67.301743
85.36,360,67.657529
85.6,360,67.969247
81.285,360,68.279112
52.495,360,68.568393
39.525,360,68.852499
15.37,360,71.231511
41.995,360,71.524601
64.29,360,71.816567
78.56,360,72.110675
33.33,360,72.398878
94.46,360,74.589362
60.645,360,74.864048
60.31,360,75.144129
72.09,360,75.431656
84.11,360,75.716729
91.71,360,75.998812
78.735,360,78.166422
113.21,360,78.448639
88.18,360,78.73897
57.4,360,79.091872
89.115,360,79.382247
101.915,360,79.663708
62.945,360,82.14789
131.475,360,82.437105
55.885,360,82.713375
100.16,360,82.991343
109.955,360,83.26668
71.46,360,85.404611
92.07,360,85.679347
63.595,360,85.954716
53.61,360,86.230047
87.885,360,86.505604
76.74,360,86.780962
114.92,360,88.915033
92.365,360,89.191753
134.79,360,89.465585
76.545,360,89.741433
52.15,360,90.015231
54.805,360,90.289844
90.675,360,92.41924
14.82,360,92.694777
107.625,360,92.971408
33.375,360,93.246358
81.83,360,93.520972
102.145,360,95.6597
84.85,360,95.937353
44.045,360,96.212434
110.36,360,96.490403
50.385,360,96.764841
65.095,360,97.040015
67.23,360,99.189886
91.225,360,99.533364
110.805,360,99.836389
47.7,360,100.117712
50.17,360,100.40112
125.69,360,100.687819
79.565,360,102.853123
81.67,360,103.126492
101.375,360,103.400801
94.795,360,103.674077
37.395,360,103.947511
62.885,360,106.13159
53.03,360,106.41574
77.765,360,106.707101
88.01,360,106.995324
92.025,360,107.278719
97.115,360,107.563392
41.875,360,109.892687
67.765,360,110.225479
53.09,360,110.541733
116.005,360,110.90919
87.67,360,111.207632
77.43,360,111.50645
49.26,360,113.928376
49.2,360,114.244112
85.655,360,114.566564
132.25,360,114.935167
42.65,360,115.246802
80.56,360,115.67879
66.315,360,117.983487
75.52,360,118.326897
89.07,360,118.608509
115.715,360,118.894307
106.09,360,119.174069
42.13,360,121.34192
77.4,360,121.631949
84.67,360,121.940807
159.895,360,122.246423
100.925,360,122.556572
54.405,360,122.842632
137.895,360,125.382302
31.055,360,125.679431
97.175,360,126.032873
55.735,360,126.467919
90.765,360,126.891446
57.96,360,127.324949
81.75,360,130.617505
74.725,360,130.950189
94.585,360,131.268496
95.355,360,131.578625
103.13,360,131.892229
111.58,360,134.443197
61.79,360,134.74824
77.675,360,135.064567
71.93,360,135.368604
77.075,360,135.675219
75.37,360,135.98343
87.66,360,138.380462
99.53,360,138.702179
