Cashiers,BurgerCooks,FriesCooks,Seed,CustomersServed,LostCustomers,WastedBurgers,WastedFries,Revenue,LostRevenue,TotalCost,Profit
1,1,1,0,43,32,0,31,701.0,578.0,63.5,637.5
1,1,1,1,43,35,0,27,746.0,565.5,61.5,684.5
1,1,1,2,41,20,0,34,726.0,354.0,65.0,661.0
1,1,1,3,43,34,0,31,674.0,635.5,63.5,610.5
1,1,1,4,44,29,0,31,757.0,543.5,63.5,693.5
1,1,1,5,40,28,0,34,649.5,431.0,65.0,584.5
1,1,1,6,44,31,0,31,747.0,578.5,63.5,683.5
1,1,1,7,46,38,0,34,840.0,579.5,65.0,775.0
1,1,1,8,40,13,0,29,675.0,233.0,62.5,612.5
1,1,1,9,50,25,0,27,777.5,404.0,61.5,716.0
2,2,1,0,68,0,0,15,1112.0,0,88.5,1023.5
2,2,1,1,77,3,0,5,1262.5,36.5,83.5,1179.0
2,2,1,2,80,6,0,3,1380.0,112.5,82.5,1297.5
2,2,1,3,71,2,0,15,1139.5,37.5,88.5,1051.0
2,2,1,4,61,1,0,21,1037.5,41.0,91.5,946.0
2,2,1,5,77,11,0,9,1275.5,203.5,85.5,1190.0
2,2,1,6,69,1,0,20,1117.0,17.0,91.0,1026.0
2,2,1,7,76,4,0,14,1208.0,86.5,88.0,1120.0
2,2,1,8,65,0,1,18,1073.5,0,91.5,982.0
2,2,1,9,77,6,0,5,1268.5,70.5,83.5,1185.0
2,2,2,0,68,0,0,43,1112.0,0,117.5,994.5
2,2,2,1,77,3,0,27,1262.5,36.5,109.5,1153.0
2,2,2,2,81,6,0,24,1397.0,112.5,108.0,1289.0
2,2,2,3,71,2,0,37,1139.5,37.5,114.5,1025.0
2,2,2,4,61,1,0,43,1037.5,41.0,117.5,920.0
2,2,2,5,77,11,0,32,1275.5,203.5,112.0,1163.5
2,2,2,6,69,1,0,51,1117.0,17.0,121.5,995.5
2,2,2,7,76,4,0,43,1208.0,86.5,117.5,1090.5
2,2,2,8,65,0,1,45,1073.5,0,120.0,953.5
2,2,2,9,77,6,0,28,1268.5,70.5,110.0,1158.5
3,3,2,0,83,1,0,31,1363.0,32.0,144.5,1218.5
3,3,2,1,85,0,0,29,1486.5,0,143.5,1343.0
3,3,2,2,80,1,0,34,1376.0,12.5,146.0,1230.0
3,3,2,3,73,0,0,32,1152.0,0,145.0,1007.0
3,3,2,4,73,0,0,38,1230.5,0,148.0,1082.5
3,3,2,5,73,0,0,37,1237.5,0,147.5,1090.0
3,3,2,6,69,0,1,38,1069.5,0,149.5,920.0
3,3,2,7,74,0,0,38,1263.5,0,148.0,1115.5
3,3,2,8,78,0,0,29,1348.0,0,143.5,1204.5
3,3,2,9,80,4,0,30,1361.0,59.0,144.0,1217.0
