#{"t_start": 1771730704.409077, "env_id": "None"}
r,l,t
125.65,360,0.477757
125.95,360,0.545476
142.6,360,0.611626
130.0,360,0.67858
92.9,360,0.74438
134.0,360,1.140184
143.9,360,1.206919
118.85,360,1.273254
130.3,360,1.338264
133.3,360,1.404788
144.65,360,1.472313
138.6,360,1.851791
102.4,360,1.917988
136.4,360,1.985031
122.0,360,2.050357
128.2,360,2.116229
133.8,360,2.181202
121.75,360,2.585977
122.65,360,2.655384
124.05,360,2.722932
128.7,360,2.789934
114.2,360,2.858523
116.8,360,3.24469
114.3,360,3.313008
111.35,360,3.380766
124.0,360,3.446598
131.55,360,3.514149
126.2,360,3.581743
107.1,360,3.966459
128.8,360,4.03395
144.05,360,4.100591
146.65,360,4.166614
107.2,360,4.233814
114.85,360,4.301478
132.85,360,4.692026
108.95,360,4.768096
136.4,360,4.840081
107.9,360,4.90698
120.95,360,4.973965
119.35,360,5.373974
124.35,360,5.441803
141.05,360,5.509891
123.0,360,5.578148
137.95,360,5.645702
131.1,360,5.714165
132.95,360,6.107022
130.2,360,6.174499
114.05,360,6.243028
91.1,360,6.310948
110.35,360,6.377964
120.4,360,6.44657
114.5,360,6.845745
137.3,360,6.913955
121.2,360,6.982578
147.95,360,7.051556
136.4,360,7.119175
129.0,360,7.514765
124.7,360,7.583494
138.0,360,7.650581
142.4,360,7.718547
126.3,360,7.786201
111.85,360,7.853389
120.1,360,8.242383
116.0,360,8.309712
136.15,360,8.376883
126.7,360,8.443997
126.35,360,8.509757
144.0,360,8.578568
112.8,360,8.970614
104.8,360,9.036815
117.05,360,9.104818
125.05,360,9.172882
117.1,360,9.23958
126.55,360,9.634808
134.1,360,9.703415
118.5,360,9.770273
117.55,360,9.837094
131.3,360,9.904421
117.55,360,9.970457
146.95,360,10.362951
129.9,360,10.432125
125.25,360,10.498717
123.05,360,10.5652
121.2,360,10.631535
111.95,360,10.697457
125.1,360,11.089995
135.75,360,11.159984
147.05,360,11.22615
144.45,360,11.293636
121.85,360,11.36078
113.95,360,11.426745
135.7,360,11.817798
116.6,360,11.884855
150.55,360,11.95133
130.65,360,12.018971
112.75,360,12.085442
141.4,360,12.475242
149.65,360,12.546826
145.8,360,12.616608
132.8,360,12.68546
127.55,360,12.755993
104.75,360,12.826322
100.6,360,13.234317
149.6,360,13.302047
113.65,360,13.369675
137.2,360,13.436235
153.8,360,13.504735
131.75,360,13.572278
129.7,360,13.959289
114.1,360,14.027061
135.0,360,14.09656
121.7,360,14.162885
94.95,360,14.229388
155.8,360,14.618209
149.75,360,14.69437
136.4,360,14.770775
142.1,360,14.842203
129.25,360,14.916421
154.3,360,14.988669
126.4,360,15.516714
137.35,360,15.591164
126.7,360,15.666795
135.0,360,15.738514
132.6,360,15.811029
117.15,360,15.882811
131.8,360,16.333676
113.7,360,16.409424
119.85,360,16.481511
98.25,360,16.553224
148.95,360,16.644263
139.7,360,17.107042
145.4,360,17.179477
122.55,360,17.253407
126.95,360,17.330199
109.55,360,17.405814
102.15,360,17.475619
120.55,360,17.877498
138.0,360,17.944565
145.1,360,18.011418
122.85,360,18.078438
113.05,360,18.143725
136.05,360,18.210882
119.6,360,18.644386
114.45,360,18.719244
124.95,360,18.79195
136.6,360,18.864648
109.1,360,18.937613
116.15,360,19.374855
143.7,360,19.446509
121.05,360,19.5128
138.6,360,19.580591
134.6,360,19.647479
113.6,360,19.72145
113.45,360,20.10354
137.95,360,20.183632
146.6,360,20.257529
136.6,360,20.328327
127.15,360,20.39935
108.65,360,20.466003
98.2,360,20.856435
126.0,360,20.923024
144.4,360,20.989376
144.4,360,21.0561
117.35,360,21.123495
125.5,360,21.523614
136.15,360,21.593509
116.95,360,21.66391
137.4,360,21.731002
120.3,360,21.798234
139.3,360,21.868949
136.2,360,22.256582
151.0,360,22.324107
124.05,360,22.395244
102.2,360,22.462009
137.0,360,22.5326
123.7,360,22.599821
151.3,360,23.015827
133.45,360,23.112075
120.7,360,23.197836
119.8,360,23.273661
142.05,360,23.344444
139.7,360,23.440986
124.0,360,23.900642
122.75,360,23.96619
108.85,360,24.031486
122.35,360,24.097633
97.5,360,24.16187
116.95,360,24.537283
97.3,360,24.603388
143.6,360,24.669081
140.4,360,24.739513
106.95,360,24.81183
116.9,360,24.928275
151.0,360,25.375107
135.5,360,25.446388
132.5,360,25.514038
112.25,360,25.580946
130.9,360,25.647571
108.95,360,25.713439
131.1,360,26.118057
121.5,360,26.188311
133.65,360,26.255463
103.1,360,26.322405
130.9,360,26.388569
127.9,360,26.766762
78.9,360,26.83191
135.25,360,26.901281
142.35,360,26.969525
121.9,360,27.03727
131.55,360,27.103363
136.8,360,27.482862
148.55,360,27.549207
119.8,360,27.613782
103.15,360,27.679813
122.7,360,27.745378
94.0,360,27.810545
133.4,360,28.215642
115.5,360,28.282319
117.75,360,28.346978
147.6,360,28.413277
148.6,360,28.481628
111.85,360,28.85845
142.35,360,28.924492
96.75,360,28.988769
115.25,360,29.055236
107.1,360,29.120513
132.95,360,29.185867
137.65,360,29.564826
132.9,360,29.630778
141.65,360,29.696035
127.05,360,29.76157
120.4,360,29.826419
142.8,360,29.893128
132.6,360,30.271671
144.2,360,30.33722
128.15,360,30.403346
135.0,360,30.47648
145.3,360,30.542686
97.9,360,30.924345
123.4,360,30.989206
136.35,360,31.055973
125.35,360,31.123139
137.25,360,31.189218
123.3,360,31.255535
127.3,360,31.635938
138.4,360,31.703045
113.3,360,31.769198
136.85,360,31.833814
124.8,360,31.900518
113.15,360,31.966233
134.2,360,32.347188
130.8,360,32.414336
150.55,360,32.481691
102.05,360,32.546243
136.6,360,32.612636
125.4,360,32.678563
107.8,360,33.05428
117.9,360,33.119938
122.95,360,33.184506
129.55,360,33.250705
120.8,360,33.317252
113.0,360,33.695165
109.15,360,33.761753
134.4,360,33.828624
122.05,360,33.894161
94.8,360,33.959631
106.4,360,34.023866
